Invoice Number,Order Date,Delivery Date,Shipping Type,Client Code,Client Name,Client Segment,Country,Location,Region Code,Zip Code,Product Code,Product Category,Product Description,Sale Amount,Quantity,DiscountRate,Profit Margin,Payment Method,Warranty (Years),Customer Satisfaction,Product Return Status,Sales Channel,Customer Loyalty Program,Marketing Campaign Code
INV-000018,2024-07-01,2024-07-05,Drone Delivery,CL-9630,David Harris,Retail Partner,Netherlands,Amsterdam,TX,70695,PD-3571,Fitness Gear,Yoga Mat,1632.73,2,0.1,60.3,Bank Transfer,3,1,No Return,Online,Platinum,MC-5283
INV-000056,2025-03-24,2025-03-28,Drone Delivery,CL-7221,David Harris,Retail Partner,Germany,Hamburg,NV,54235,PD-2933,Automotive Parts,Decorative Lamp,605.51,1,0.08,173.53,PayPal,2,4,Returned,In-Store,None,MC-3313
INV-000046,2025-01-13,2025-01-17,In-Store Pickup,CL-7072,Karen Wright,E-commerce,Spain,Barcelona,MI,69543,PD-4770,Garden Tools,Cordless Drill,1514.69,8,0.09,309.08,Bitcoin,2,1,Returned,Wholesale,None,MC-3882
INV-000025,2024-08-19,2024-08-23,In-Store Pickup,CL-8402,David Harris,E-commerce,France,Marseille,SF,62686,PD-2761,Fitness Gear,Yoga Mat,2056.27,2,0.24,144.55,Cash,1,3,Returned,Online,None,MC-4778
INV-000003,2024-03-18,2024-03-22,Drone Delivery,CL-7812,Karen Wright,Retail Partner,Netherlands,The Hague,SF,59695,PD-1036,Automotive Parts,Yoga Mat,1980.72,4,0.21,241.58,Bank Transfer,5,1,No Return,Online,Bronze,MC-8702
INV-000013,2024-05-27,2024-05-31,Drone Delivery,CL-7345,Jennifer Lee,Retail Partner,France,Marseille,NV,67537,PD-2746,Wearable Tech,Car Battery,2377.33,8,0.3,321.47,Bank Transfer,1,3,Returned,Wholesale,Bronze,MC-7383
INV-000044,2024-12-30,2025-01-03,In-Store Pickup,CL-6608,Karen Wright,Retail Partner,Spain,Madrid,TX,32219,PD-4817,Garden Tools,Car Battery,827.59,5,0.26,366.28,PayPal,1,4,No Return,In-Store,Gold,MC-7731
INV-000092,2025-12-01,2025-12-05,Drone Delivery,CL-6359,James Parker,E-commerce,Germany,Berlin,MI,73690,PD-1260,Automotive Parts,Cordless Drill,478.0,2,0.17,147.09,Cash,5,2,Returned,In-Store,Silver,MC-1381
INV-000045,2025-01-06,2025-01-10,Freight,CL-5890,Jennifer Lee,Retail Partner,Spain,Barcelona,TX,74076,PD-2875,Home Decor,Car Battery,665.25,6,0.13,244.9,Bitcoin,3,4,No Return,Wholesale,Gold,MC-8185
INV-000029,2024-09-16,2024-09-20,Drone Delivery,CL-3781,Laura Martinez,E-commerce,Italy,Milan,FL,79731,PD-1994,Garden Tools,Decorative Lamp,1410.47,11,0.08,32.6,Cash,2,2,No Return,Wholesale,Platinum,MC-1147
INV-000044,2024-12-30,2025-01-03,In-Store Pickup,CL-6608,Karen Wright,Retail Partner,Spain,Madrid,TX,32219,PD-4817,Garden Tools,Car Battery,827.59,5,0.26,366.28,PayPal,1,4,No Return,In-Store,Gold,MC-6523
INV-000077,2025-08-18,2025-08-22,In-Store Pickup,CL-6058,James Parker,E-commerce,France,Marseille,FL,63016,PD-2539,Wearable Tech,Cordless Drill,1105.56,7,0.05,160.11,Bank Transfer,5,3,Returned,Wholesale,Silver,MC-8255
INV-000014,2024-06-03,2024-06-07,In-Store Pickup,CL-9904,Karen Wright,Retail Partner,Spain,Barcelona,MI,68764,PD-3670,Wearable Tech,Cordless Drill,2027.5,3,0.06,352.46,Cash,2,3,Returned,In-Store,Silver,MC-9483
INV-000045,2025-01-06,2025-01-10,Freight,CL-5890,Jennifer Lee,Retail Partner,Spain,Barcelona,TX,74076,PD-2875,Home Decor,Car Battery,665.25,6,0.13,244.9,Bitcoin,3,4,No Return,Wholesale,Gold,MC-2036
INV-000049,2025-02-03,2025-02-07,Drone Delivery,CL-8363,James Parker,E-commerce,Italy,Milan,SF,44383,PD-3314,Automotive Parts,Yoga Mat,923.93,10,0.33,391.04,Credit Card,2,1,Returned,In-Store,Gold,MC-6818
INV-000082,2025-09-22,2025-09-26,Freight,CL-8896,Jennifer Lee,Retail Partner,France,Marseille,TX,69639,PD-4125,Automotive Parts,Cordless Drill,150.44,10,0.18,335.73,Credit Card,2,1,Returned,In-Store,Bronze,MC-7772
INV-000051,2025-02-17,2025-02-21,In-Store Pickup,CL-5113,Laura Martinez,E-commerce,Germany,Hamburg,TX,37880,PD-4347,Garden Tools,Decorative Lamp,2352.75,8,0.31,272.32,Bitcoin,3,5,No Return,Wholesale,Silver,MC-2393
INV-000042,2024-12-16,2024-12-20,In-Store Pickup,CL-7360,James Parker,Retail Partner,Netherlands,The Hague,SF,40355,PD-1080,Home Decor,Decorative Lamp,2217.06,9,0.1,285.86,Credit Card,1,4,Returned,Online,None,MC-3060
INV-000083,2025-09-29,2025-10-03,Freight,CL-3107,Karen Wright,Retail Partner,Italy,Naples,FL,63426,PD-3882,Garden Tools,Cordless Drill,2463.99,1,0.22,261.28,Cash,5,3,Returned,Online,Gold,MC-7496
INV-000003,2024-03-18,2024-03-22,Drone Delivery,CL-7812,Karen Wright,Retail Partner,Netherlands,The Hague,SF,59695,PD-1036,Automotive Parts,Yoga Mat,1980.72,4,0.21,241.58,Bank Transfer,5,1,No Return,Online,Bronze,MC-2008
INV-000043,2024-12-23,2024-12-27,Freight,CL-4809,Karen Wright,E-commerce,France,Lyon,TX,43417,PD-4821,Garden Tools,Car Battery,2401.23,1,0.29,368.17,Credit Card,2,1,Returned,Online,Silver,MC-1935
INV-000090,2025-11-17,2025-11-21,Drone Delivery,CL-5669,Jennifer Lee,Retail Partner,Germany,Munich,FL,31627,PD-2471,Automotive Parts,Smart Ring,1201.92,2,0.14,69.92,PayPal,2,3,Returned,In-Store,Bronze,MC-9662
INV-000042,2024-12-16,2024-12-20,In-Store Pickup,CL-7360,James Parker,Retail Partner,Netherlands,The Hague,SF,40355,PD-1080,Home Decor,Decorative Lamp,2217.06,9,0.1,285.86,Credit Card,1,4,Returned,Online,None,MC-8915
INV-000015,2024-06-10,2024-06-14,In-Store Pickup,CL-2845,Jennifer Lee,Retail Partner,Spain,Valencia,SF,37049,PD-2077,Automotive Parts,Smart Ring,1819.8,4,0.28,260.79,Credit Card,2,3,Returned,Online,Bronze,MC-8415
INV-000048,2025-01-27,2025-01-31,Drone Delivery,CL-3080,Jennifer Lee,Retail Partner,Italy,Naples,SF,51873,PD-3712,Home Decor,Smart Ring,1356.37,9,0.13,383.98,Bank Transfer,3,2,Returned,In-Store,Platinum,MC-1965
INV-000061,2025-04-28,2025-05-02,In-Store Pickup,CL-6333,Jennifer Lee,E-commerce,Spain,Barcelona,TX,78024,PD-1024,Automotive Parts,Cordless Drill,1988.92,6,0.16,40.5,Bank Transfer,3,1,Returned,Online,None,MC-2506
INV-000024,2024-08-12,2024-08-16,Drone Delivery,CL-8499,Karen Wright,E-commerce,Netherlands,Amsterdam,TX,76559,PD-4040,Home Decor,Yoga Mat,1112.94,3,0.27,381.27,Bank Transfer,5,1,Returned,In-Store,None,MC-6184
INV-000089,2025-11-10,2025-11-14,Drone Delivery,CL-8012,James Parker,Retail Partner,Italy,Milan,FL,56623,PD-4078,Automotive Parts,Yoga Mat,2218.23,2,0.12,318.12,Cash,2,2,Returned,Wholesale,Bronze,MC-7279
INV-000051,2025-02-17,2025-02-21,In-Store Pickup,CL-5113,Laura Martinez,E-commerce,Germany,Hamburg,TX,37880,PD-4347,Garden Tools,Decorative Lamp,2352.75,8,0.31,272.32,Bitcoin,3,5,No Return,Wholesale,Silver,MC-5841
INV-000022,2024-07-29,2024-08-02,Drone Delivery,CL-5514,Karen Wright,E-commerce,France,Lyon,NV,36600,PD-2193,Home Decor,Cordless Drill,2298.02,11,0.05,66.99,Bank Transfer,2,3,Returned,In-Store,Bronze,MC-9685
INV-000036,2024-11-04,2024-11-08,Drone Delivery,CL-4614,Jennifer Lee,Retail Partner,Netherlands,Amsterdam,SF,66075,PD-3203,Wearable Tech,Smart Ring,1132.49,2,0.27,60.29,Bank Transfer,3,5,No Return,In-Store,None,MC-8708
INV-000002,2024-03-11,2024-03-15,Freight,CL-8461,Jennifer Lee,Retail Partner,Italy,Naples,NV,62933,PD-2253,Wearable Tech,Car Battery,1816.01,6,0.17,232.22,Cash,2,1,No Return,Online,Silver,MC-3469
INV-000032,2024-10-07,2024-10-11,In-Store Pickup,CL-4133,Laura Martinez,E-commerce,Netherlands,Rotterdam,TX,30747,PD-1956,Fitness Gear,Decorative Lamp,462.01,2,0.19,271.3,Bank Transfer,1,4,Returned,Online,Silver,MC-6447
INV-000095,2025-12-22,2025-12-26,In-Store Pickup,CL-5522,David Harris,E-commerce,France,Lyon,SF,30933,PD-1988,Home Decor,Decorative Lamp,1823.99,1,0.29,103.98,Cash,3,4,No Return,Wholesale,None,MC-2408
INV-000063,2025-05-12,2025-05-16,In-Store Pickup,CL-4488,David Harris,E-commerce,Germany,Hamburg,FL,73487,PD-1962,Automotive Parts,Yoga Mat,898.97,1,0.25,192.65,Bank Transfer,1,4,Returned,In-Store,Platinum,MC-9445
INV-000078,2025-08-25,2025-08-29,Drone Delivery,CL-6822,Karen Wright,E-commerce,Germany,Hamburg,TX,38483,PD-3877,Garden Tools,Car Battery,2027.87,7,0.1,350.62,Bank Transfer,5,2,Returned,Online,Silver,MC-3311
INV-000008,2024-04-22,2024-04-26,Drone Delivery,CL-6379,James Parker,E-commerce,Netherlands,Rotterdam,SF,31469,PD-2454,Home Decor,Yoga Mat,1181.3,2,0.29,81.74,Bank Transfer,3,5,Returned,In-Store,None,MC-7341
INV-000014,2024-06-03,2024-06-07,In-Store Pickup,CL-9904,Karen Wright,Retail Partner,Spain,Barcelona,MI,68764,PD-3670,Wearable Tech,Cordless Drill,2027.5,3,0.06,352.46,Cash,2,3,Returned,In-Store,Silver,MC-4694
INV-000084,2025-10-06,2025-10-10,Drone Delivery,CL-4359,Laura Martinez,Retail Partner,Germany,Hamburg,TX,41906,PD-4988,Automotive Parts,Decorative Lamp,1901.46,1,0.13,162.93,Bitcoin,2,4,No Return,In-Store,None,MC-3046
INV-000020,2024-07-15,2024-07-19,In-Store Pickup,CL-2544,Jennifer Lee,Retail Partner,France,Lyon,NV,52069,PD-1744,Wearable Tech,Cordless Drill,1157.04,6,0.14,332.84,Bank Transfer,3,1,Returned,In-Store,Bronze,MC-6848
INV-000091,2025-11-24,2025-11-28,In-Store Pickup,CL-9882,Laura Martinez,E-commerce,Spain,Madrid,SF,41638,PD-4354,Garden Tools,Decorative Lamp,1293.99,3,0.06,235.59,Bank Transfer,2,5,No Return,Online,Gold,MC-2543
INV-000096,2025-12-29,2026-01-02,Freight,CL-6369,Jennifer Lee,Retail Partner,Germany,Berlin,MI,36185,PD-3544,Home Decor,Cordless Drill,2201.19,4,0.06,112.23,Cash,3,3,No Return,Online,Silver,MC-9890
INV-000088,2025-11-03,2025-11-07,Freight,CL-3772,Laura Martinez,E-commerce,Germany,Berlin,TX,61096,PD-4806,Wearable Tech,Smart Ring,583.18,3,0.23,77.69,Bank Transfer,3,5,Returned,Online,None,MC-8572
INV-000074,2025-07-28,2025-08-01,Freight,CL-7206,James Parker,Retail Partner,Netherlands,Amsterdam,MI,71713,PD-1459,Home Decor,Decorative Lamp,2078.64,7,0.23,394.12,Bitcoin,5,3,No Return,Online,Bronze,MC-5686
INV-000084,2025-10-06,2025-10-10,Drone Delivery,CL-4359,Laura Martinez,Retail Partner,Germany,Hamburg,TX,41906,PD-4988,Automotive Parts,Decorative Lamp,1901.46,1,0.13,162.93,Bitcoin,2,4,No Return,In-Store,None,MC-4506
INV-000004,2024-03-25,2024-03-29,Freight,CL-9549,Laura Martinez,E-commerce,Netherlands,Amsterdam,SF,51700,PD-3034,Wearable Tech,Decorative Lamp,1623.92,9,0.18,19.08,Credit Card,2,5,No Return,In-Store,Gold,MC-7742
INV-000020,2024-07-15,2024-07-19,In-Store Pickup,CL-2544,Jennifer Lee,Retail Partner,France,Lyon,NV,52069,PD-1744,Wearable Tech,Cordless Drill,1157.04,6,0.14,332.84,Bank Transfer,3,1,Returned,In-Store,Bronze,MC-6757
INV-000074,2025-07-28,2025-08-01,Freight,CL-7206,James Parker,Retail Partner,Netherlands,Amsterdam,MI,71713,PD-1459,Home Decor,Decorative Lamp,2078.64,7,0.23,394.12,Bitcoin,5,3,No Return,Online,Bronze,MC-5865
INV-000002,2024-03-11,2024-03-15,Freight,CL-8461,Jennifer Lee,Retail Partner,Italy,Naples,NV,62933,PD-2253,Wearable Tech,Car Battery,1816.01,6,0.17,232.22,Cash,2,1,No Return,Online,Silver,MC-7566
INV-000071,2025-07-07,2025-07-11,Freight,CL-3158,James Parker,E-commerce,Germany,Munich,TX,64018,PD-3186,Fitness Gear,Smart Ring,2020.11,11,0.34,273.63,Bank Transfer,2,5,No Return,Online,Silver,MC-3406
INV-000100,2026-01-26,2026-01-30,Freight,CL-8504,Laura Martinez,E-commerce,Netherlands,Rotterdam,SF,71811,PD-3360,Automotive Parts,Car Battery,591.47,8,0.17,361.17,Bank Transfer,1,2,No Return,In-Store,Bronze,MC-9537
INV-000074,2025-07-28,2025-08-01,Freight,CL-7206,James Parker,Retail Partner,Netherlands,Amsterdam,MI,71713,PD-1459,Home Decor,Decorative Lamp,2078.64,7,0.23,394.12,Bitcoin,5,3,No Return,Online,Bronze,MC-7637
INV-000071,2025-07-07,2025-07-11,Freight,CL-3158,James Parker,E-commerce,Germany,Munich,TX,64018,PD-3186,Fitness Gear,Smart Ring,2020.11,11,0.34,273.63,Bank Transfer,2,5,No Return,Online,Silver,MC-5312
INV-000090,2025-11-17,2025-11-21,Drone Delivery,CL-5669,Jennifer Lee,Retail Partner,Germany,Munich,FL,31627,PD-2471,Automotive Parts,Smart Ring,1201.92,2,0.14,69.92,PayPal,2,3,Returned,In-Store,Bronze,MC-1542
INV-000028,2024-09-09,2024-09-13,Drone Delivery,CL-5250,James Parker,E-commerce,France,Marseille,FL,61583,PD-4054,Automotive Parts,Smart Ring,1554.67,9,0.34,247.04,PayPal,5,2,Returned,Wholesale,Bronze,MC-8889
INV-000069,2025-06-23,2025-06-27,In-Store Pickup,CL-2247,David Harris,Retail Partner,Italy,Naples,FL,62700,PD-1587,Automotive Parts,Yoga Mat,515.42,8,0.18,264.75,PayPal,2,4,Returned,In-Store,Silver,MC-3863
INV-000023,2024-08-05,2024-08-09,Drone Delivery,CL-4702,Jennifer Lee,Retail Partner,Spain,Barcelona,NV,54643,PD-3912,Wearable Tech,Cordless Drill,1358.9,3,0.19,194.35,PayPal,3,4,No Return,Online,None,MC-3340
INV-000020,2024-07-15,2024-07-19,In-Store Pickup,CL-2544,Jennifer Lee,Retail Partner,France,Lyon,NV,52069,PD-1744,Wearable Tech,Cordless Drill,1157.04,6,0.14,332.84,Bank Transfer,3,1,Returned,In-Store,Bronze,MC-7259
INV-000024,2024-08-12,2024-08-16,Drone Delivery,CL-8499,Karen Wright,E-commerce,Netherlands,Amsterdam,TX,76559,PD-4040,Home Decor,Yoga Mat,1112.94,3,0.27,381.27,Bank Transfer,5,1,Returned,In-Store,None,MC-5516
INV-000044,2024-12-30,2025-01-03,In-Store Pickup,CL-6608,Karen Wright,Retail Partner,Spain,Madrid,TX,32219,PD-4817,Garden Tools,Car Battery,827.59,5,0.26,366.28,PayPal,1,4,No Return,In-Store,Gold,MC-8508
INV-000021,2024-07-22,2024-07-26,Drone Delivery,CL-3926,James Parker,E-commerce,Germany,Hamburg,MI,43785,PD-3529,Garden Tools,Car Battery,34.33,2,0.19,311.4,Bank Transfer,2,2,No Return,Online,Bronze,MC-2907
INV-000027,2024-09-02,2024-09-06,Freight,CL-8395,James Parker,E-commerce,Italy,Rome,SF,35364,PD-4253,Home Decor,Cordless Drill,143.44,11,0.28,202.54,Bank Transfer,5,4,Returned,In-Store,Platinum,MC-3475
INV-000059,2025-04-14,2025-04-18,Drone Delivery,CL-6440,David Harris,Retail Partner,Spain,Barcelona,NV,67950,PD-2647,Fitness Gear,Car Battery,2216.66,10,0.18,272.94,Credit Card,3,3,Returned,Wholesale,Gold,MC-7173
INV-000046,2025-01-13,2025-01-17,In-Store Pickup,CL-7072,Karen Wright,E-commerce,Spain,Barcelona,MI,69543,PD-4770,Garden Tools,Cordless Drill,1514.69,8,0.09,309.08,Bitcoin,2,1,Returned,Wholesale,None,MC-7089
INV-000078,2025-08-25,2025-08-29,Drone Delivery,CL-6822,Karen Wright,E-commerce,Germany,Hamburg,TX,38483,PD-3877,Garden Tools,Car Battery,2027.87,7,0.1,350.62,Bank Transfer,5,2,Returned,Online,Silver,MC-3591
INV-000002,2024-03-11,2024-03-15,Freight,CL-8461,Jennifer Lee,Retail Partner,Italy,Naples,NV,62933,PD-2253,Wearable Tech,Car Battery,1816.01,6,0.17,232.22,Cash,2,1,No Return,Online,Silver,MC-2363
INV-000006,2024-04-08,2024-04-12,Drone Delivery,CL-8482,Laura Martinez,E-commerce,Netherlands,Rotterdam,NV,58836,PD-2022,Automotive Parts,Yoga Mat,286.71,11,0.34,102.01,PayPal,5,1,No Return,In-Store,Silver,MC-2476
INV-000026,2024-08-26,2024-08-30,Drone Delivery,CL-8694,James Parker,E-commerce,Spain,Barcelona,SF,62498,PD-4808,Home Decor,Yoga Mat,277.44,3,0.32,287.53,Bank Transfer,1,4,No Return,Online,None,MC-2836
INV-000050,2025-02-10,2025-02-14,Drone Delivery,CL-4090,David Harris,E-commerce,Germany,Hamburg,TX,37344,PD-2014,Wearable Tech,Smart Ring,422.76,8,0.22,164.16,Credit Card,3,2,Returned,Online,Gold,MC-2395
INV-000076,2025-08-11,2025-08-15,Freight,CL-4653,Laura Martinez,E-commerce,Spain,Barcelona,NV,37465,PD-4070,Fitness Gear,Decorative Lamp,451.05,1,0.12,310.26,Credit Card,3,2,Returned,Wholesale,Silver,MC-1172
INV-000005,2024-04-01,2024-04-05,Freight,CL-3909,Laura Martinez,Retail Partner,Italy,Milan,FL,30382,PD-4429,Automotive Parts,Decorative Lamp,1571.15,4,0.14,397.03,Bank Transfer,2,4,No Return,Wholesale,Gold,MC-7754
INV-000098,2026-01-12,2026-01-16,Drone Delivery,CL-6013,Jennifer Lee,E-commerce,France,Paris,TX,62922,PD-4062,Fitness Gear,Decorative Lamp,729.65,10,0.14,222.51,PayPal,1,4,No Return,Wholesale,Gold,MC-9038
INV-000007,2024-04-15,2024-04-19,In-Store Pickup,CL-6581,James Parker,Retail Partner,Spain,Barcelona,TX,50374,PD-3406,Garden Tools,Yoga Mat,90.48,10,0.25,192.23,Cash,3,2,No Return,In-Store,Silver,MC-5221
INV-000024,2024-08-12,2024-08-16,Drone Delivery,CL-8499,Karen Wright,E-commerce,Netherlands,Amsterdam,TX,76559,PD-4040,Home Decor,Yoga Mat,1112.94,3,0.27,381.27,Bank Transfer,5,1,Returned,In-Store,None,MC-5094
INV-000069,2025-06-23,2025-06-27,In-Store Pickup,CL-2247,David Harris,Retail Partner,Italy,Naples,FL,62700,PD-1587,Automotive Parts,Yoga Mat,515.42,8,0.18,264.75,PayPal,2,4,Returned,In-Store,Silver,MC-7162
INV-000058,2025-04-07,2025-04-11,Drone Delivery,CL-8032,Jennifer Lee,E-commerce,France,Marseille,NV,37995,PD-3189,Home Decor,Yoga Mat,117.94,6,0.11,342.39,Credit Card,1,5,Returned,Online,Silver,MC-5267
INV-000060,2025-04-21,2025-04-25,Drone Delivery,CL-7191,David Harris,Retail Partner,France,Lyon,TX,60393,PD-3631,Garden Tools,Yoga Mat,2128.29,8,0.32,396.16,Credit Card,3,1,No Return,Wholesale,Platinum,MC-2821
INV-000094,2025-12-15,2025-12-19,Freight,CL-9752,Laura Martinez,E-commerce,Germany,Hamburg,TX,54436,PD-3403,Fitness Gear,Yoga Mat,182.98,10,0.07,115.96,Credit Card,3,2,No Return,In-Store,Silver,MC-1105
INV-000051,2025-02-17,2025-02-21,In-Store Pickup,CL-5113,Laura Martinez,E-commerce,Germany,Hamburg,TX,37880,PD-4347,Garden Tools,Decorative Lamp,2352.75,8,0.31,272.32,Bitcoin,3,5,No Return,Wholesale,Silver,MC-9313
INV-000038,2024-11-18,2024-11-22,Drone Delivery,CL-4403,David Harris,Retail Partner,Germany,Hamburg,TX,60277,PD-1486,Automotive Parts,Smart Ring,792.62,10,0.13,244.73,Bank Transfer,2,5,Returned,In-Store,None,MC-8027
INV-000094,2025-12-15,2025-12-19,Freight,CL-9752,Laura Martinez,E-commerce,Germany,Hamburg,TX,54436,PD-3403,Fitness Gear,Yoga Mat,182.98,10,0.07,115.96,Credit Card,3,2,No Return,In-Store,Silver,MC-4295
INV-000019,2024-07-08,2024-07-12,Drone Delivery,CL-8325,Jennifer Lee,Retail Partner,Italy,Rome,NV,37817,PD-2871,Home Decor,Cordless Drill,1794.09,4,0.32,335.41,Bank Transfer,2,1,No Return,Wholesale,Bronze,MC-7962
INV-000025,2024-08-19,2024-08-23,In-Store Pickup,CL-8402,David Harris,E-commerce,France,Marseille,SF,62686,PD-2761,Fitness Gear,Yoga Mat,2056.27,2,0.24,144.55,Cash,1,3,Returned,Online,None,MC-6785
INV-000077,2025-08-18,2025-08-22,In-Store Pickup,CL-6058,James Parker,E-commerce,France,Marseille,FL,63016,PD-2539,Wearable Tech,Cordless Drill,1105.56,7,0.05,160.11,Bank Transfer,5,3,Returned,Wholesale,Silver,MC-1041
INV-000054,2025-03-10,2025-03-14,Freight,CL-6120,James Parker,E-commerce,Italy,Rome,SF,55663,PD-4476,Automotive Parts,Decorative Lamp,2339.61,2,0.13,22.91,Credit Card,2,4,No Return,In-Store,None,MC-3617
INV-000077,2025-08-18,2025-08-22,In-Store Pickup,CL-6058,James Parker,E-commerce,France,Marseille,FL,63016,PD-2539,Wearable Tech,Cordless Drill,1105.56,7,0.05,160.11,Bank Transfer,5,3,Returned,Wholesale,Silver,MC-1294
INV-000063,2025-05-12,2025-05-16,In-Store Pickup,CL-4488,David Harris,E-commerce,Germany,Hamburg,FL,73487,PD-1962,Automotive Parts,Yoga Mat,898.97,1,0.25,192.65,Bank Transfer,1,4,Returned,In-Store,Platinum,MC-2127
INV-000036,2024-11-04,2024-11-08,Drone Delivery,CL-4614,Jennifer Lee,Retail Partner,Netherlands,Amsterdam,SF,66075,PD-3203,Wearable Tech,Smart Ring,1132.49,2,0.27,60.29,Bank Transfer,3,5,No Return,In-Store,None,MC-4039
INV-000040,2024-12-02,2024-12-06,Drone Delivery,CL-7953,Jennifer Lee,E-commerce,Germany,Berlin,SF,40897,PD-3960,Wearable Tech,Cordless Drill,2214.3,6,0.17,356.73,Cash,5,2,Returned,Wholesale,Bronze,MC-8733
INV-000091,2025-11-24,2025-11-28,In-Store Pickup,CL-9882,Laura Martinez,E-commerce,Spain,Madrid,SF,41638,PD-4354,Garden Tools,Decorative Lamp,1293.99,3,0.06,235.59,Bank Transfer,2,5,No Return,Online,Gold,MC-6460
INV-000028,2024-09-09,2024-09-13,Drone Delivery,CL-5250,James Parker,E-commerce,France,Marseille,FL,61583,PD-4054,Automotive Parts,Smart Ring,1554.67,9,0.34,247.04,PayPal,5,2,Returned,Wholesale,Bronze,MC-7157
INV-000029,2024-09-16,2024-09-20,Drone Delivery,CL-3781,Laura Martinez,E-commerce,Italy,Milan,FL,79731,PD-1994,Garden Tools,Decorative Lamp,1410.47,11,0.08,32.6,Cash,2,2,No Return,Wholesale,Platinum,MC-3676
INV-000081,2025-09-15,2025-09-19,Drone Delivery,CL-4609,Karen Wright,Retail Partner,Germany,Berlin,NV,75682,PD-4622,Garden Tools,Yoga Mat,1158.23,8,0.15,244.74,PayPal,2,3,No Return,Wholesale,None,MC-2753
INV-000008,2024-04-22,2024-04-26,Drone Delivery,CL-6379,James Parker,E-commerce,Netherlands,Rotterdam,SF,31469,PD-2454,Home Decor,Yoga Mat,1181.3,2,0.29,81.74,Bank Transfer,3,5,Returned,In-Store,None,MC-3093
INV-000061,2025-04-28,2025-05-02,In-Store Pickup,CL-6333,Jennifer Lee,E-commerce,Spain,Barcelona,TX,78024,PD-1024,Automotive Parts,Cordless Drill,1988.92,6,0.16,40.5,Bank Transfer,3,1,Returned,Online,None,MC-8543
INV-000004,2024-03-25,2024-03-29,Freight,CL-9549,Laura Martinez,E-commerce,Netherlands,Amsterdam,SF,51700,PD-3034,Wearable Tech,Decorative Lamp,1623.92,9,0.18,19.08,Credit Card,2,5,No Return,In-Store,Gold,MC-5243
INV-000067,2025-06-09,2025-06-13,Freight,CL-7569,Jennifer Lee,Retail Partner,Netherlands,Rotterdam,FL,54090,PD-1815,Wearable Tech,Cordless Drill,1215.88,8,0.13,132.75,Cash,5,2,Returned,In-Store,None,MC-9540
INV-000027,2024-09-02,2024-09-06,Freight,CL-8395,James Parker,E-commerce,Italy,Rome,SF,35364,PD-4253,Home Decor,Cordless Drill,143.44,11,0.28,202.54,Bank Transfer,5,4,Returned,In-Store,Platinum,MC-9847
INV-000068,2025-06-16,2025-06-20,Drone Delivery,CL-4885,Jennifer Lee,E-commerce,Italy,Rome,MI,68918,PD-2281,Fitness Gear,Yoga Mat,1277.69,9,0.07,338.13,Cash,5,1,No Return,In-Store,Platinum,MC-1176
INV-000010,2024-05-06,2024-05-10,Freight,CL-7818,Laura Martinez,E-commerce,France,Paris,TX,40718,PD-3972,Automotive Parts,Decorative Lamp,1559.62,9,0.1,157.01,Cash,1,4,Returned,Wholesale,Bronze,MC-8794
INV-000071,2025-07-07,2025-07-11,Freight,CL-3158,James Parker,E-commerce,Germany,Munich,TX,64018,PD-3186,Fitness Gear,Smart Ring,2020.11,11,0.34,273.63,Bank Transfer,2,5,No Return,Online,Silver,MC-5065
INV-000002,2024-03-11,2024-03-15,Freight,CL-8461,Jennifer Lee,Retail Partner,Italy,Naples,NV,62933,PD-2253,Wearable Tech,Car Battery,1816.01,6,0.17,232.22,Cash,2,1,No Return,Online,Silver,MC-9071
INV-000082,2025-09-22,2025-09-26,Freight,CL-8896,Jennifer Lee,Retail Partner,France,Marseille,TX,69639,PD-4125,Automotive Parts,Cordless Drill,150.44,10,0.18,335.73,Credit Card,2,1,Returned,In-Store,Bronze,MC-8763
INV-000022,2024-07-29,2024-08-02,Drone Delivery,CL-5514,Karen Wright,E-commerce,France,Lyon,NV,36600,PD-2193,Home Decor,Cordless Drill,2298.02,11,0.05,66.99,Bank Transfer,2,3,Returned,In-Store,Bronze,MC-3112
INV-000039,2024-11-25,2024-11-29,In-Store Pickup,CL-3070,David Harris,E-commerce,Italy,Naples,MI,78138,PD-1499,Automotive Parts,Car Battery,686.63,3,0.32,123.65,Bitcoin,5,4,No Return,Wholesale,Bronze,MC-5109
INV-000040,2024-12-02,2024-12-06,Drone Delivery,CL-7953,Jennifer Lee,E-commerce,Germany,Berlin,SF,40897,PD-3960,Wearable Tech,Cordless Drill,2214.3,6,0.17,356.73,Cash,5,2,Returned,Wholesale,Bronze,MC-8097
INV-000020,2024-07-15,2024-07-19,In-Store Pickup,CL-2544,Jennifer Lee,Retail Partner,France,Lyon,NV,52069,PD-1744,Wearable Tech,Cordless Drill,1157.04,6,0.14,332.84,Bank Transfer,3,1,Returned,In-Store,Bronze,MC-4464
INV-000015,2024-06-10,2024-06-14,In-Store Pickup,CL-2845,Jennifer Lee,Retail Partner,Spain,Valencia,SF,37049,PD-2077,Automotive Parts,Smart Ring,1819.8,4,0.28,260.79,Credit Card,2,3,Returned,Online,Bronze,MC-6934
INV-000094,2025-12-15,2025-12-19,Freight,CL-9752,Laura Martinez,E-commerce,Germany,Hamburg,TX,54436,PD-3403,Fitness Gear,Yoga Mat,182.98,10,0.07,115.96,Credit Card,3,2,No Return,In-Store,Silver,MC-7062
